zpid,id,lotId,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,availabilityCount,canSaveBuilding,has3DModel,isFeaturedListing,isShowcaseListing,isSaved,list,relaxed,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,isZillowOwned,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,isHomeRec,hasAdditionalAttributions,availabilityDate
25.608015--80.34634,25.608015--80.34634,2093927032.0,FOR_RENT,Indigo Palmetto Bay,/apartments/palmetto-bay-fl/indigo-palmetto-bay/9QF6Dk/,"{'latitude': 25.608015, 'longitude': -80.34634}","[{'price': '$2,554+', 'beds': '2'}, {'price': '$3,156+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Indigo Palmetto Bay,True,"9500 SW 174th St, Miami, FL",9500 SW 174th St   # 446,FL,Miami,33157,3mqe5ankv0cs5,10.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.680126--80.47059,25.680126--80.47059,1104509165.0,FOR_RENT,Altis Kendall Square,/apartments/miami-fl/altis-kendall-square/5vbBTN/,"{'latitude': 25.680126, 'longitude': -80.47059}","[{'price': '$2,440+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Altis Kendall Square,True,"16950 SW 93rd St, Miami, FL",16950 SW 93rd St   # 2-301,FL,Miami,33196,1a17dvmgjpjky,8.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.983791--80.301414,25.983791--80.301414,1038708915.0,FOR_RENT,Solano at Miramar,/apartments/miramar-fl/solano-at-miramar/5gBt88/,"{'latitude': 25.983791, 'longitude': -80.301414}","[{'price': '$2,560+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Solano at Miramar,True,"11700 SW 26th St, Hollywood, FL",11700 SW 26th St   # 11772,FL,Hollywood,33025,1w18nxfgrcafy,14.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.886965--80.169075,25.886965--80.169075,1001657676.0,FOR_RENT,Windsor Biscayne Shores,/apartments/miami-fl/windsor-biscayne-shores/5XkxXP/,"{'latitude': 25.886965, 'longitude': -80.169075}","[{'price': '$2,574+', 'beds': '2'}, {'price': '$3,310+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Windsor Biscayne Shores,True,"12016 NE 16th Ave, Miami, FL",12016 NE 16th Ave  # 2-107,FL,Miami,33161,1tv8r3jkx910j,3.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.813456--80.33694,25.813456--80.33694,1008615772.0,FOR_RENT,Windsor at Doral,/apartments/doral-fl/windsor-at-doral/5Yy6XM/,"{'latitude': 25.813456, 'longitude': -80.33694}","[{'price': '$3,245+', 'beds': '2'}, {'price': '$4,105+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Windsor at Doral,True,"4401 NW 87th Ave, Doral, FL",4401 NW 87th Ave  Unit 601,FL,Doral,33178,j27zxnuc8wed,6.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.968426--80.298035,25.968426--80.298035,2355187512.0,FOR_RENT,Avalon Miramar,/apartments/miramar-fl/avalon-miramar/BLXmQH/,"{'latitude': 25.968426, 'longitude': -80.298035}","[{'price': '$2,710+', 'beds': '2'}, {'price': '$3,090+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Avalon Miramar,True,"4300 SW 113th Ter, Hollywood, FL",4300 SW 113th Ter  # b294f9921,FL,Hollywood,33025,2bwwbsp4ykbn9,0.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.969118--80.307144,25.969118--80.307144,2281639367.0,FOR_RENT,Atlantico at Miramar,/apartments/miramar-fl/atlantico-at-miramar/B5nc7j/,"{'latitude': 25.969118, 'longitude': -80.307144}","[{'price': '$2,620+', 'beds': '2'}, {'price': '$3,189+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Atlantico at Miramar,True,"12121 SW 43rd St, Hollywood, FL",12121 SW 43rd St   # 303,FL,Hollywood,33025,3ef05rf9mkkc4,0.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.912561--80.30784,25.912561--80.30784,2370252137.0,FOR_RENT,6600 Main,/apartments/miami-lakes-fl/6600-main/BP9pjb/,"{'latitude': 25.912561, 'longitude': -80.30784}","[{'price': '$2,980+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",6600 Main,True,"6600 Main St, Hialeah, FL",6600 Main St   Apt 1628,FL,Hialeah,33014,tuhybc6b1mjh,15.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.808268--80.33087,25.808268--80.33087,2296881455.0,FOR_RENT,The Flats at City Place,/apartments/doral-fl/the-flats-at-city-place/B8RBLk/,"{'latitude': 25.808268, 'longitude': -80.33087}","[{'price': '$3,190+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The Flats at City Place,True,"3555 NW 83rd Ave, Doral, FL",3555 NW 83rd Ave  Apt 303,FL,Doral,33122,56696jwhxe2u5,10.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.960625--80.14849,25.960625--80.14849,2183131047.0,FOR_RENT,Midtown Aventura,/apartments/miami-fl/midtown-aventura/9jhK5r/,"{'latitude': 25.960625, 'longitude': -80.14849}","[{'price': '$2,973+', 'beds': '2'}, {'price': '$3,698+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Midtown Aventura,True,"20080 W Dixie Hwy, Miami, FL",20080 W  Dixie Hwy  # 8102,FL,Miami,33180,3801sx102ttpc,3.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
