gig_id,title,currency,cost,search_key,,serach criteria,Average of cost
268260453_25,I will model and texture paint low poly 3d models in blender,£,9,painting,,,
229730798_26,I will hand paint your pet portrait with 3d paste in a cute style,£,84,painting,,,
195655335_27,I will 3d print and paint any type of prototype or accessory for every project,£,42,painting,,,
210056351_28,I will hand paint and texture your 3d assets,£,13,painting,,,
249061115_29,"I will make top quality 3d characters for animation,games, 3d paint",£,51,painting,,,
288196142_30,I will 3d print your figurines and paint them,£,9,painting,,,
205741394_31,I will 3d print and paint anything,£,13,painting,,,
300434244_32,I will 3d print and paint your model,£,9,painting,,,
296962300_33,I will logo animation with 3d paint balloons,£,9,painting,,,
237296779_34,"I will do matte painting for vfx, commercial tv series in 2d,3d",£,59,painting,,,
270286132_35,I will paint any games workshop 3rd party or 3d printed models,£,5,painting,,,
179555227_36,I will do colorful digital paintings with 3d illusion,£,9,painting,,,
282721186_37,I will paint your 3d printed figure,£,84,painting,,,
297969215_38,I will create stylized 3d low poly models and hand paint  textures,£,13,painting,,,
143143092_39,I will make custom 3d models and paint them,£,42,painting,,,
277540849_40,I will low poly 3d modeling and uv map painting,£,5,painting,,,
301535196_41,I will draw a smudge painting 3d caricature from your photo in 24 hours,£,5,painting,,,
291193878_42,"I will do 3d miniature, warhammer 40k miniature painting dnd",£,84,painting,,,
305687719_43,"I will do 2d visual effects, 3d vfx, digital fx, matte painting, motion graphics",£,42,painting,,,
282476228_44,I will create a painting of an environment in 3d blender,£,17,painting,,,
293660346_45,"I will make oil painting, 3d cartoon effects and painting realistic in photoshop",£,9,painting,,,
112670821_46,I will paint logo with 3d animation,£,42,painting,,,
136598349_47,I will make your portrait photo to 3d digital painting art,£,9,painting,,,
